dt,x,y
0,0,2300
0.1,7.07106781186548,2307.02201781187
0.2,14.142135623731,2313.94593562373
0.3,21.2132034355964,2320.7717534356
0.4,28.2842712474619,2327.49947124746
0.5,35.3553390593274,2334.12908905933
0.6,42.4264068711929,2340.66060687119
0.7,49.4974746830583,2347.09402468306
0.8,56.5685424949238,2353.42934249492
0.9,63.6396103067893,2359.66656030679
1,70.7106781186547,2365.80567811865
1.1,77.7817459305202,2371.84669593052
1.2,84.8528137423857,2377.78961374239
1.3,91.9238815542512,2383.63443155425
1.4,98.9949493661167,2389.38114936612
1.5,106.066017177982,2395.02976717798
1.6,113.137084989848,2400.58028498985
1.7,120.208152801713,2406.03270280171
1.8,127.279220613579,2411.38702061358
1.9,134.350288425444,2416.64323842544
2,141.42135623731,2421.80135623731
2.1,148.492424049175,2426.86137404918
2.2,155.563491861041,2431.82329186104
2.3,162.634559672906,2436.68710967291
2.4,169.705627484771,2441.45282748477
2.5,176.776695296637,2446.12044529664
2.6,183.847763108502,2450.6899631085
2.7,190.918830920368,2455.16138092037
2.8,197.989898732233,2459.53469873223
2.9,205.060966544099,2463.8099165441
3,212.132034355964,2467.98703435596
3.1,219.20310216783,2472.06605216783
3.2,226.274169979695,2476.04696997969
3.3,233.345237791561,2479.92978779156
3.4,240.416305603426,2483.71450560343
3.5,247.487373415292,2487.40112341529
3.6,254.558441227157,2490.98964122716
3.7,261.629509039023,2494.48005903902
3.8,268.700576850888,2497.87237685089
3.9,275.771644662754,2501.16659466275
4,282.842712474619,2504.36271247462
4.1,289.913780286485,2507.46073028648
4.2,296.98484809835,2510.46064809835
4.3,304.055915910216,2513.36246591022
4.4,311.126983722081,2516.16618372208
4.5,318.198051533946,2518.87180153395
4.6,325.269119345812,2521.47931934581
4.7,332.340187157677,2523.98873715768
4.8,339.411254969543,2526.40005496954
4.9,346.482322781408,2528.71327278141
5,353.553390593274,2530.92839059327
5.1,360.624458405139,2533.04540840514
5.2,367.695526217005,2535.064326217
5.3,374.76659402887,2536.98514402887
5.4,381.837661840735,2538.80786184074
5.5,388.908729652601,2540.5324796526
5.6,395.979797464466,2542.15899746447
5.7,403.050865276332,2543.68741527633
5.8,410.121933088197,2545.1177330882
5.9,417.193000900063,2546.44995090006
5.99999999999999,424.264068711928,2547.68406871193
6.09999999999999,431.335136523794,2548.82008652379
6.19999999999999,438.406204335659,2549.85800433566
6.29999999999999,445.477272147525,2550.79782214752
6.39999999999999,452.54833995939,2551.63953995939
6.49999999999999,459.619407771255,2552.38315777126
6.59999999999999,466.690475583121,2553.02867558312
6.69999999999999,473.761543394986,2553.57609339499
6.79999999999999,480.832611206852,2554.02541120685
6.89999999999999,487.903679018717,2554.37662901872
6.99999999999999,494.974746830583,2554.62974683058
7.09999999999999,502.045814642448,2554.78476464245
7.19999999999999,509.116882454314,2554.84168245431
7.29999999999999,516.187950266179,2554.80050026618
7.39999999999999,523.259018078045,2554.66121807805
7.49999999999999,530.33008588991,2554.42383588991
7.59999999999999,537.401153701775,2554.08835370178
7.69999999999999,544.472221513641,2553.65477151364
7.79999999999999,551.543289325506,2553.12308932551
7.89999999999999,558.614357137372,2552.49330713737
7.99999999999999,565.685424949237,2551.76542494924
8.09999999999999,572.756492761103,2550.9394427611
8.19999999999999,579.827560572968,2550.01536057297
8.29999999999999,586.898628384834,2548.99317838483
8.39999999999999,593.969696196699,2547.8728961967
8.49999999999999,601.040764008564,2546.65451400857
8.59999999999999,608.11183182043,2545.33803182043
8.69999999999999,615.182899632295,2543.9234496323
8.79999999999998,622.253967444161,2542.41076744416
8.89999999999998,629.325035256026,2540.79998525603
8.99999999999998,636.396103067892,2539.09110306789
9.09999999999998,643.467170879757,2537.28412087976
9.19999999999998,650.538238691623,2535.37903869162
9.29999999999998,657.609306503488,2533.37585650349
9.39999999999998,664.680374315353,2531.27457431535
9.49999999999998,671.751442127219,2529.07519212722
9.59999999999998,678.822509939084,2526.77770993909
9.69999999999998,685.89357775095,2524.38212775095
9.79999999999998,692.964645562815,2521.88844556282
9.89999999999998,700.035713374681,2519.29666337468
9.99999999999998,707.106781186546,2516.60678118655
10.1,714.177848998412,2513.81879899841
10.2,721.248916810277,2510.93271681028
10.3,728.319984622143,2507.94853462214
10.4,735.391052434008,2504.86625243401
10.5,742.462120245873,2501.68587024588
10.6,749.533188057739,2498.40738805774
10.7,756.604255869604,2495.03080586961
10.8,763.67532368147,2491.55612368147
10.9,770.746391493335,2487.98334149334
11,777.817459305201,2484.3124593052
11.1,784.888527117066,2480.54347711707
11.2,791.959594928932,2476.67639492893
11.3,799.030662740797,2472.7112127408
11.4,806.101730552663,2468.64793055266
11.5,813.172798364528,2464.48654836453
11.6,820.243866176393,2460.2270661764
11.7,827.314933988259,2455.86948398826
11.8,834.386001800124,2451.41380180013
11.9,841.45706961199,2446.86001961199
12,848.528137423855,2442.20813742386
12.1,855.599205235721,2437.45815523572
12.2,862.670273047586,2432.61007304759
12.3,869.741340859452,2427.66389085945
12.4,876.812408671317,2422.61960867132
12.5,883.883476483182,2417.47722648319
12.6,890.954544295048,2412.23674429505
12.7,898.025612106913,2406.89816210692
12.8,905.096679918779,2401.46147991878
12.9,912.167747730644,2395.92669773065
13,919.23881554251,2390.29381554251
13.1,926.309883354375,2384.56283335438
13.2,933.380951166241,2378.73375116624
13.3,940.452018978106,2372.80656897811
13.4,947.523086789971,2366.78128678998
13.5,954.594154601837,2360.65790460184
13.6,961.665222413702,2354.43642241371
13.7,968.736290225568,2348.11684022557
13.8,975.807358037433,2341.69915803744
