dt 	 x 	 y 

0	0	2300
0.1	17.3205080756888	2309.95095
0.2	34.6410161513775	2319.8038
0.3	51.9615242270663	2329.55855
0.4	69.2820323027551	2339.2152
0.5	86.6025403784439	2348.77375
0.6	103.923048454133	2358.2342
0.7	121.243556529821	2367.59655
0.8	138.56406460551	2376.8608
0.9	155.884572681199	2386.02695
1	173.205080756888	2395.095
1.1	190.525588832577	2404.06495
1.2	207.846096908265	2412.9368
1.3	225.166604983954	2421.71055
1.4	242.487113059643	2430.3862
1.5	259.807621135332	2438.96375
1.6	277.12812921102	2447.4432
1.7	294.448637286709	2455.82455
1.8	311.769145362398	2464.1078
1.9	329.089653438087	2472.29295
2	346.410161513776	2480.38
2.1	363.730669589464	2488.36895
2.2	381.051177665153	2496.2598
2.3	398.371685740842	2504.05255
2.4	415.692193816531	2511.7472
2.5	433.01270189222	2519.34375
2.6	450.333209967908	2526.8422
2.7	467.653718043597	2534.24255
2.8	484.974226119286	2541.5448
2.9	502.294734194975	2548.74895
3	519.615242270664	2555.855
3.1	536.935750346352	2562.86295
3.2	554.256258422041	2569.7728
3.3	571.57676649773	2576.58455
3.4	588.897274573419	2583.2982
3.5	606.217782649107	2589.91375
3.6	623.538290724796	2596.4312
3.7	640.858798800485	2602.85055
3.8	658.179306876174	2609.1718
3.9	675.499814951863	2615.39495
4	692.820323027551	2621.52
4.1	710.14083110324	2627.54695
4.2	727.461339178929	2633.4758
4.3	744.781847254617	2639.30655
4.4	762.102355330306	2645.0392
4.5	779.422863405995	2650.67375
4.6	796.743371481684	2656.2102
4.7	814.063879557372	2661.64855
4.8	831.384387633061	2666.9888
4.9	848.70489570875	2672.23095
5	866.025403784438	2677.375
5.1	883.345911860127	2682.42095
5.2	900.666419935816	2687.3688
5.3	917.986928011505	2692.21855
5.4	935.307436087193	2696.9702
5.5	952.627944162882	2701.62375
5.6	969.948452238571	2706.1792
5.7	987.268960314259	2710.63655
5.8	1004.58946838995	2714.9958
5.9	1021.90997646564	2719.25695
5.99999999999999	1039.23048454133	2723.42
6.09999999999999	1056.55099261701	2727.48495
6.19999999999999	1073.8715006927	2731.4518
6.29999999999999	1091.19200876839	2735.32055
6.39999999999999	1108.51251684408	2739.0912
6.49999999999999	1125.83302491977	2742.76375
6.59999999999999	1143.15353299546	2746.3382
6.69999999999999	1160.47404107115	2749.81455
6.79999999999999	1177.79454914684	2753.1928
6.89999999999999	1195.11505722252	2756.47295
6.99999999999999	1212.43556529821	2759.655
7.09999999999999	1229.7560733739	2762.73895
7.19999999999999	1247.07658144959	2765.7248
7.29999999999999	1264.39708952528	2768.61255
7.39999999999999	1281.71759760097	2771.4022
7.49999999999999	1299.03810567666	2774.09375
7.59999999999999	1316.35861375235	2776.6872
7.69999999999999	1333.67912182803	2779.18255
7.79999999999999	1350.99962990372	2781.5798
7.89999999999999	1368.32013797941	2783.87895
7.99999999999999	1385.6406460551	2786.08
8.09999999999999	1402.96115413079	2788.18295
8.19999999999999	1420.28166220648	2790.1878
8.29999999999999	1437.60217028217	2792.09455
8.39999999999999	1454.92267835785	2793.9032
8.49999999999999	1472.24318643354	2795.61375
8.59999999999999	1489.56369450923	2797.2262
8.69999999999999	1506.88420258492	2798.74055
8.79999999999998	1524.20471066061	2800.1568
8.89999999999998	1541.5252187363	2801.47495
8.99999999999998	1558.84572681199	2802.695
9.09999999999998	1576.16623488768	2803.81695
9.19999999999998	1593.48674296336	2804.8408
9.29999999999998	1610.80725103905	2805.76655
9.39999999999998	1628.12775911474	2806.5942
9.49999999999998	1645.44826719043	2807.32375
9.59999999999998	1662.76877526612	2807.9552
9.69999999999998	1680.08928334181	2808.48855
9.79999999999998	1697.4097914175	2808.9238
9.89999999999998	1714.73029949319	2809.26095
9.99999999999998	1732.05080756887	2809.5
10.1	1749.37131564456	2809.64095
10.2	1766.69182372025	2809.6838
10.3	1784.01233179594	2809.62855
10.4	1801.33283987163	2809.4752
10.5	1818.65334794732	2809.22375
10.6	1835.97385602301	2808.8742
10.7	1853.2943640987	2808.42655
10.8	1870.61487217438	2807.8808
10.9	1887.93538025007	2807.23695
11	1905.25588832576	2806.495
11.1	1922.57639640145	2805.65495
11.2	1939.89690447714	2804.7168
11.3	1957.21741255283	2803.68055
11.4	1974.53792062852	2802.5462
11.5	1991.8584287042	2801.31375
11.6	2009.17893677989	2799.9832
11.7	2026.49944485558	2798.55455
11.8	2043.81995293127	2797.0278
11.9	2061.14046100696	2795.40295
12	2078.46096908265	2793.68
12.1	2095.78147715834	2791.85895
12.2	2113.10198523403	2789.9398
12.3	2130.42249330971	2787.92255
12.4	2147.7430013854	2785.8072
12.5	2165.06350946109	2783.59375
12.6	2182.38401753678	2781.2822
12.7	2199.70452561247	2778.87255
12.8	2217.02503368816	2776.3648
12.9	2234.34554176385	2773.75895
13	2251.66604983954	2771.055
13.1	2268.98655791522	2768.25295
13.2	2286.30706599091	2765.3528
13.3	2303.6275740666	2762.35455
13.4	2320.94808214229	2759.2582
13.5	2338.26859021798	2756.06375
13.6	2355.58909829367	2752.7712
13.7	2372.90960636936	2749.38055
13.8	2390.23011444505	2745.8918
13.9	2407.55062252073	2742.30495
14	2424.87113059642	2738.62
14.1	2442.19163867211	2734.83695
14.2	2459.5121467478	2730.9558
14.3	2476.83265482349	2726.97655
14.4	2494.15316289918	2722.8992
14.5	2511.47367097487	2718.72375
14.6	2528.79417905056	2714.4502
14.7	2546.11468712624	2710.07855
14.8	2563.43519520193	2705.6088
14.9	2580.75570327762	2701.04095
15	2598.07621135331	2696.375
15.1	2615.396719429	2691.61095
15.2	2632.71722750469	2686.7488
15.3	2650.03773558038	2681.78855
15.4	2667.35824365606	2676.7302
15.5	2684.67875173175	2671.57375
15.6	2701.99925980744	2666.3192
15.7	2719.31976788313	2660.96655
15.8	2736.64027595882	2655.5158
15.9	2753.96078403451	2649.96695
16	2771.2812921102	2644.32
16.1	2788.60180018589	2638.57495
16.2	2805.92230826157	2632.7318
16.3	2823.24281633726	2626.79055
16.4	2840.56332441295	2620.7512
16.5	2857.88383248864	2614.61375
16.6	2875.20434056433	2608.3782
16.7	2892.52484864002	2602.04455
16.8	2909.84535671571	2595.6128
16.9	2927.1658647914	2589.08295
17	2944.48637286709	2582.455
17.1	2961.80688094278	2575.72895
17.2	2979.12738901846	2568.9048
17.3	2996.44789709415	2561.98255
17.4	3013.76840516984	2554.9622
17.5	3031.08891324553	2547.84375
17.6	3048.40942132122	2540.6272
17.7	3065.72992939691	2533.31255
17.8	3083.0504374726	2525.8998
17.9	3100.37094554829	2518.38895
18	3117.69145362398	2510.78
18.1	3135.01196169967	2503.07295
18.2	3152.33246977536	2495.2678
18.3	3169.65297785104	2487.36455
18.4	3186.97348592673	2479.3632
18.5	3204.29399400242	2471.26375
18.6	3221.61450207811	2463.0662
18.7	3238.9350101538	2454.77055
18.8	3256.25551822949	2446.3768
18.9	3273.57602630518	2437.88495
19	3290.89653438087	2429.295
19.1	3308.21704245656	2420.60695
19.2	3325.53755053225	2411.8208
19.3	3342.85805860793	2402.93655
19.4	3360.17856668362	2393.9542
19.5	3377.49907475931	2384.87375
19.6	3394.819582835	2375.6952
19.7	3412.14009091069	2366.41855
19.8	3429.46059898638	2357.0438
19.9	3446.78110706207	2347.57095
20	3464.10161513776	2338
20.1	3481.42212321345	2328.33095
20.2	3498.74263128914	2318.5638
20.3	3516.06313936482	2308.69855
20.4	3533.38364744051	2298.7352
20.5	3550.7041555162	2288.67375
20.6	3568.02466359189	2278.5142
20.7	3585.34517166758	2268.25655
20.8	3602.66567974327	2257.9008
20.9	3619.98618781896	2247.44695
21	3637.30669589465	2236.895
21.1	3654.62720397034	2226.24495
21.2	3671.94771204603	2215.4968
21.3	3689.26822012171	2204.65055
21.4	3706.5887281974	2193.7062
21.5	3723.90923627309	2182.66375
21.6	3741.22974434878	2171.5232
21.7	3758.55025242447	2160.28455
21.8	3775.87076050016	2148.94779999999
21.9	3793.19126857585	2137.51294999999
22	3810.51177665154	2125.97999999999
22.1	3827.83228472723	2114.34894999999
22.2	3845.15279280292	2102.61979999999
22.3	3862.47330087861	2090.79254999999
22.4	3879.79380895429	2078.86719999999
22.5000000000001	3897.11431702998	2066.84374999999
22.6000000000001	3914.43482510567	2054.72219999999
22.7000000000001	3931.75533318136	2042.50254999999
22.8000000000001	3949.07584125705	2030.18479999999
22.9000000000001	3966.39634933274	2017.76894999999
23.0000000000001	3983.71685740843	2005.25499999999
23.1000000000001	4001.03736548412	1992.64294999999
23.2000000000001	4018.35787355981	1979.93279999999
23.3000000000001	4035.6783816355	1967.12454999999
23.4000000000001	4052.99888971118	1954.21819999999
23.5000000000001	4070.31939778687	1941.21374999999
23.6000000000001	4087.63990586256	1928.11119999999
23.7000000000001	4104.96041393825	1914.91054999999
23.8000000000001	4122.28092201394	1901.61179999999
23.9000000000001	4139.60143008963	1888.21494999999
24.0000000000001	4156.92193816532	1874.71999999999
24.1000000000001	4174.24244624101	1861.12694999999
24.2000000000001	4191.5629543167	1847.43579999999
24.3000000000001	4208.88346239239	1833.64654999999
24.4000000000001	4226.20397046807	1819.75919999999
24.5000000000001	4243.52447854376	1805.77374999999
24.6000000000001	4260.84498661945	1791.69019999999
24.7000000000001	4278.16549469514	1777.50854999999
24.8000000000001	4295.48600277083	1763.22879999999
24.9000000000001	4312.80651084652	1748.85094999999
25.0000000000001	4330.12701892221	1734.37499999999
25.1000000000001	4347.4475269979	1719.80094999999
25.2000000000001	4364.76803507359	1705.12879999999
25.3000000000001	4382.08854314928	1690.35854999999
25.4000000000001	4399.40905122497	1675.49019999999
25.5000000000001	4416.72955930065	1660.52374999999
25.6000000000001	4434.05006737634	1645.45919999999
25.7000000000001	4451.37057545203	1630.29654999999
25.8000000000001	4468.69108352772	1615.03579999998
25.9000000000001	4486.01159160341	1599.67694999998
26.0000000000001	4503.3320996791	1584.21999999998
26.1000000000001	4520.65260775479	1568.66494999998
26.2000000000001	4537.97311583048	1553.01179999998
26.3000000000001	4555.29362390617	1537.26054999998
26.4000000000001	4572.61413198186	1521.41119999998
26.5000000000001	4589.93464005754	1505.46374999998
26.6000000000001	4607.25514813323	1489.41819999998
26.7000000000001	4624.57565620892	1473.27454999998
26.8000000000001	4641.89616428461	1457.03279999998
26.9000000000001	4659.2166723603	1440.69294999998
27.0000000000001	4676.53718043599	1424.25499999998
27.1000000000001	4693.85768851168	1407.71894999998
27.2000000000001	4711.17819658737	1391.08479999998
27.3000000000001	4728.49870466306	1374.35254999998
27.4000000000001	4745.81921273874	1357.52219999998
27.5000000000001	4763.13972081443	1340.59374999998
27.6000000000001	4780.46022889012	1323.56719999998
27.7000000000001	4797.78073696581	1306.44254999998
27.8000000000001	4815.1012450415	1289.21979999998
27.9000000000001	4832.42175311719	1271.89894999998
28.0000000000001	4849.74226119288	1254.47999999998
28.1000000000001	4867.06276926857	1236.96294999998
28.2000000000001	4884.38327734426	1219.34779999998
28.3000000000001	4901.70378541995	1201.63454999998
28.4000000000001	4919.02429349564	1183.82319999998
28.5000000000001	4936.34480157132	1165.91374999997
28.6000000000001	4953.66530964701	1147.90619999997
28.7000000000001	4970.9858177227	1129.80054999997
28.8000000000001	4988.30632579839	1111.59679999997
28.9000000000001	5005.62683387408	1093.29494999997
29.0000000000001	5022.94734194977	1074.89499999997
29.1000000000001	5040.26785002546	1056.39694999997
29.2000000000001	5057.58835810115	1037.80079999997
29.3000000000001	5074.90886617684	1019.10654999997
29.4000000000001	5092.22937425253	1000.31419999997
29.5000000000001	5109.54988232821	981.423749999972
29.6000000000002	5126.8703904039	962.435199999971
29.7000000000002	5144.19089847959	943.34854999997
29.8000000000002	5161.51140655528	924.163799999969
29.9000000000002	5178.83191463097	904.880949999969
30.0000000000002	5196.15242270666	885.499999999968
30.1000000000002	5213.47293078235	866.020949999968
30.2000000000002	5230.79343885804	846.443799999968
30.3000000000002	5248.11394693373	826.768549999968
30.4000000000002	5265.43445500942	806.995199999968
30.5000000000002	5282.7549630851	787.123749999967
30.6000000000002	5300.07547116079	767.154199999966
30.7000000000002	5317.39597923648	747.086549999966
30.8000000000002	5334.71648731217	726.920799999965
30.9000000000002	5352.03699538786	706.656949999965
31.0000000000002	5369.35750346355	686.294999999965
31.1000000000002	5386.67801153924	665.834949999963
31.2000000000002	5403.99851961493	645.276799999963
31.3000000000002	5421.31902769062	624.620549999962
31.4000000000002	5438.63953576631	603.866199999963
31.5000000000002	5455.96004384199	583.013749999963
31.6000000000002	5473.28055191768	562.063199999961
31.7000000000002	5490.60105999337	541.014549999962
31.8000000000002	5507.92156806906	519.867799999961
31.9000000000002	5525.24207614475	498.622949999961
32.0000000000002	5542.56258422044	477.27999999996
32.1000000000002	5559.88309229613	455.838949999959
32.2000000000002	5577.20360037182	434.299799999959
32.3000000000002	5594.52410844751	412.662549999958
32.4000000000002	5611.8446165232	390.927199999957
32.5000000000002	5629.16512459889	369.093749999956
32.6000000000002	5646.48563267457	347.162199999957
